t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,label
0.9687228203,0.7437011003,0.1676802784,0.1025195494,0,0.01824500412,0.08514335006,0.1763683707,0.1911381334,0.1728931367,0.1850564778,0.1841876656,0.1711555123,0.1702867001,0.1642050445,0.1650738418,0.1589921862,0.1468288451,0.1841876656,0.1607297957,0.1529105157,0.1746307611,0.1416159868,0.1503040791,0.1511728913,0.1450912207,0.1520417035,0.1398783624,0.130321458,0.1337966919,0.1242397949,0.1138140783,0.09383144975,0.1016507372,0.08253692091,0.09035620838,0.1059947908,0.1120764539,0.1268462241,0.1789748073,0.2041702867,0.2154648155,0.2415291071,0.2311033905,0.2684622109,0.2762815058,0.2919200659,0.2754126787,0.2736750543,0.2997393608,0.2797567248,0.2988705337,0.2945264876,0.2997393608,0.3032146096,0.2858383954,0.3075586557,0.2953953147,0.3136403263,0.3171155453,0.3119027019,0.328410089,0.3049522042,0.308427453,0.2797567248,0.3049522042,0.3249348402,0.3058210313,0.3327541351,0.3249348402,0.3362293541,0.3414422274,0.3310165107,0.3292788863,0.3136403263,0.3136403263,0.3292788863,0.308427453,0.3075586557,0.3075586557,0.3171155453,0.3058210313,0.3188531697,0.3153779209,0.308427453,0.3205907941,0.331885308,0.3153779209,0.3058210313,0.3171155453,0.3145091236,0.3136403263,0.3153779209,0.3119027019,0.3171155453,0.3145091236,0.3145091236,0.3275412619,0.3171155453,0.3258036375,0.331885308,0.3310165107,0.3171155453,0.3136403263,0.3058210313,0.3066898286,0.3014769852,0.3119027019,0.3188531697,0.3171155453,0.3449174762,0.3831450939,0.4474370182,0.5004343987,0.5099912882,0.5994787216,0.6463944316,0.6099044085,0.545612514,0.4691572487,0.4066029489,0.3692441285,0.3171155453,0.2641181648,0.2554300725,0.2580364943,0.2754126787,0.2797567248,0.2675933838,0.2797567248,0.2649869621,0.1928757578,0.181581229,0.5395308137,1,0.7654213905,0.1728931367,0.165942654,0.001737619517,0.06429191679,0.1242397949,0.1850564778,0.1833188534,0.1946133822,0.1928757578,0.2067767233,0.1954821944,0.1867940873,0.1789748073,0.1911381334,0.1902693361,0.1885317117,0.2076455206,0.1876628995,0.1876628995,0.1781059951,0.1789748073,0.1781059951,0.1633362323,0.1668114662,0.1546481252,0.1459600329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.7155599594,0.5609514117,0.5014865994,0.4132804871,0.4271556139,0.4023785889,0.4281466901,0.4192269444,0.412289381,0.4479682744,0.4241823554,0.4261645079,0.4340931475,0.4093161523,0.417244792,0.3904856145,0.4162537158,0.4003964365,0.3676907718,0.4301288426,0.4063429236,0.412289381,0.3954410255,0.3825569749,0.4073339999,0.3567889035,0.3448959291,0.3082259595,0.2745292485,0.2656095028,0.1912784874,0.1684836447,0.135777995,0.1298315227,0.1774033755,0.1417244822,0.1873141676,0.1952428073,0.2021803707,0.227948457,0.2061446905,0.2239841372,0.237859264,0.227948457,0.2368681878,0.2160554975,0.2200198174,0.2140733451,0.2200198174,0.2487611473,0.2091179341,0.2259663045,0.2120911777,0.2210109085,0.242814675,0.2051536143,0.2398414314,0.2259663045,0.237859264,0.2566897869,0.2210109085,0.2438057512,0.2556987107,0.2438057512,0.2497522235,0.2547076344,0.3012883961,0.3359762132,0.3250743449,0.4152626395,0.3716551065,0.2775024772,0.2755203247,0.2775024772,0.2814668119,0.2338949442,0.251734376,0.2438057512,0.2547076344,0.2675916851,0.2150644213,0.2616451979,0.2180376649,0.2309217006,0.2497522235,0.2130822539,0.2319127917,0.252725482,0.2497522235,0.1833498478,0.02180376649,0,0.2438057512,0.5976213813,0.7928642035,0.5500495434,0.8216055632,0.8889989853,0.6333003044,0.4965312183,0.4321109951,0.3904856145,0.3666996956,0.3914767206,0.4192269444,0.3865213096,0.4241823554,0.397423178,0.4202180505,0.4479682744,0.4023785889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9590443969,1,0.4823663235,0.03299203515,0,0.04550625756,0.192263931,0.3856655359,0.383390218,0.4334470928,0.3640500605,0.3902161419,0.4004550576,0.3128555119,0.3048919141,0.3526735008,0.4334470928,0.459613204,0.425483495,0.3765642643,0.3663253784,0.3640500605,0.3617747426,0.3401592672,0.383390218,0.4425483644,0.3651877046,0.4516496062,0.4493742883,0.5187713504,0.5779294372,0.573378861,0.7144482136,0.7394766808,0.7747440338,0.8191125989,0.7963594794,0.7224118114,0.6632537246,0.6018202305,0.5665528774,0.540386796,0.5529010296,0.4937428832,0.4857792854,0.4766780436,0.4800910056,0.4345847666,0.4505119324,0.4766780436,0.5483503938,0.6336746216,0.6279863715,0.6143344641,0.5961319804,0.5381115079,0.5164960027,0.5358361602,0.4937428832,0.4618885219,0.4800910056,0.4004550576,0.4402730465,0.3788395822,0.3458475471,0.3663253784,0.3731513023,0.4266211689,0.4288964868,0.4584755301,0.5392491221,0.5096700788,0.5574516654,0.5574516654,0.5688282251,0.5244596004,0.4857792854,0.4379977286,0.4050056934,0.3788395822,0.4653014839,0.4027303755,0.4550625682,0.38680318,0.4539249241,0.4664391279,0.4391353726,0.4607508481,0.4050056934,0.4709897637,0.4766780436,0.4732650816,0.5039817691,0.4459613264,0.4766780436,0.5494880676,0.4846416414,0.5062571168,0.4527872503,0.4573378861,0.4880546033,0.4891922772,0.5460751057,0.4846416414,0.5096700788,0.4687144458,0.4789533615,0.5381115079,0.4994311631,0.5062571168,0.4687144458,0.5164960027,0.5676905513,0.5415244699,0.5563139915,0.5108077526,0.5221843123,0.5472127199,0.4334470928,0.4766780436,0.4152446091,0.4357224107,0.4755403996,0.4550625682,0.5062571168,0.5108077526,0.5415244699,0.5358361602,0.4937428832,0.5574516654,0.5870307088,0.5620023012,0.5915813446,0.5449374318,0.6166098118,0.6006826162,0.5995449424,0.5802047849,0.4903299212,0.579067111,0.9146757722,0.9704209566,0.9135380983,0.7610921264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9273542762,0.7739910483,0.3121076226,0.002690583002,0,0.1040358767,0.182959646,0.2071748823,0.2224215269,0.2376681566,0.2143497765,0.2367713004,0.2654708624,0.2690582871,0.2887892425,0.2672645748,0.2726457417,0.3049327433,0.3031390011,0.3210762441,0.3049327433,0.3147982061,0.3399103284,0.32556054,0.3443946242,0.3354260027,0.3192825019,0.3399103284,0.3192825019,0.3210762441,0.3040358722,0.3085201681,0.3103139102,0.2780269086,0.2771300375,0.2502242029,0.2304932773,0.2618834078,0.2349775732,0.2538116574,0.2313901335,0.2304932773,0.2645739913,0.2349775732,0.2565022409,0.2502242029,0.2466367781,0.2672645748,0.2591928244,0.2744394541,0.2582959533,0.2654708624,0.3336322904,0.3336322904,0.3641255498,0.3757847548,0.4556053877,0.4923766851,0.4869955182,0.5354260206,0.4941703975,0.3856502175,0.3264574111,0.2672645748,0.2645739913,0.2251121104,0.2089686096,0.2358744442,0.2242152393,0.2295964062,0.2565022409,0.2968609929,0.2152466327,0.2645739913,0.5721973181,1,0.4304932654,0.1399103105,0.09147982299,0.2008968592,0.2439461946,0.2421524674,0.291479826,0.2726457417,0.3013452888,0.2789237797,0.2789237797,0.3183856606,0.3067264557,0.3291479945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.946069479,0.6288848519,0.2157221138,0,0.03747714683,0.06078610569,0.09095063806,0.09414990991,0.09872028977,0.1110603288,0.1101462543,0.1069469824,0.1005484462,0.1083180979,0.1074040234,0.1069469824,0.1160877496,0.1160877496,0.1138025597,0.1192870215,0.132541135,0.1348263323,0.144881174,0.15813528,0.1645338237,0.1855575889,0.2006398588,0.2161791623,0.2285192013,0.2362888455,0.2394881099,0.2486288846,0.2463436872,0.2458866537,0.2308043838,0.2175502777,0.2042961568,0.1951553971,0.1860146224,0.18372944,0.1750456989,0.1750456989,0.1659049392,0.1741316319,0.170475319,0.1691042036,0.1695612371,0.1681901217,0.184643507,0.1878427714,0.1914990842,0.1905850023,0.1914990842,0.1869287044,0.1809872091,0.1851005554,0.1768738627,0.1782449782,0.1709323525,0.1691042036,0.1700182855,0.1668190062,0.1736745834,0.1727605164,0.1768738627,0.1718464345,0.170475319,0.1759597808,0.172303468,0.1750456989,0.182815358,0.2052102387,0.2239488065,0.2381169945,0.2458866537,0.248171851,0.2605118752,0.2554844618,0.2248628885,0.2417733073,0.2317184657,0.2061243206,0.184643507,0.182815358,0.1645338237,0.1595063955,0.1599634439,0.157221213,0.1485374719,0.1521937847,0.1508226693,0.1279707551,0.0818098709,0.09460694343,0.3185557723,0.6814442277,1,0.6215721965,0.2294332683,0.06352833658,0.1170018315,0.1499085873,0.1663619727,0.1764168143,0.1823583245,0.1732175499,0.1764168143,0.1759597808,0.1732175499,0.1681901217,0.1755027473,0.1805301607,0.1869287044,0.1777879298,0.1695612371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.5670050979,0.4045685232,0.4238578677,0.3720812201,0.3248730898,0.2730964422,0.2736040652,0.2700507641,0.2807106674,0.2979695499,0.26598984,0.2939086258,0.2817258835,0.2913705707,0.296954304,0.2730964422,0.2959390879,0.2761421204,0.3025380671,0.3289340138,0.3121827543,0.3269035518,0.3096446693,0.3106598854,0.299492389,0.2680203021,0.2974619269,0.2827411294,0.2690355182,0.2796954215,0.2360406071,0.233502537,0.2299492359,0.2213197947,0.2243654877,0.2035533041,0.2208121866,0.2121827453,0.2624365389,0.2710659802,0.2147208154,0.2700507641,0.2502537966,0.2274111658,0.2451776713,0.2634517848,0.2538070977,0.2258883268,0.2507614195,0.2609136999,0.1746192873,0.2096446753,0.2365482301,0.2532995045,0.2182741165,0.201015234,0.2294416279,0.2111675143,0.2340101451,0.235532999,0.2187817246,0.2223350257,0.1954314709,0.2299492359,0.2395939082,0.2177664936,0.2467005104,0.2162436545,0.2147208154,0.234517768,0.200000003,0.2406091392,0.2213197947,0.2436548173,0.233502537,0.2020304501,0.2751269042,0.2238578647,0.2411167473,0.2360406071,0.2060913742,0.2294416279,0.2456852794,0.2502537966,0.2309644669,0.2152284235,0.2670050859,0.2583756447,0.3050761521,0.2786802053,0.2781725824,0.3045685291,0.2913705707,0.3045685291,0.3253807127,0.2817258835,0.2553299367,0.2548223436,0.2431472093,0.2233502567,0.2025380731,0.2451776713,0.2071066052,0.2360406071,0.2213197947,0.1045685261,0,0.1512690336,0.5583756566,0.9126903415,0.5964466929,0.402030468,0.395431459,0.3695431352,0.2837563455,0.2446700484,0.2375634462,0.2319796979,0.2568528056,0.2477157414,0.2416243702,0.2604060769,0.2578680217,0.266497463,0.2527918816,0.234517768,0.2492385805,0.2573603988,0.2781725824,0.2598984838,0.2157360464,0.2461928874,0.2431472093,0.2568528056,0.2497461885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.960773766,0.7109081149,0.6125738621,0.5405696034,0.4991939962,0.4223535657,0.3815153241,0.3874261081,0.384739399,0.3600215018,0.3895755112,0.3842020333,0.3965609968,0.384739399,0.3831273615,0.3933369219,0.3664696515,0.4089199305,0.3970983326,0.3965609968,0.407307893,0.3632455766,0.3901128471,0.3514239788,0.3573347628,0.348199904,0.3293927908,0.3159591556,0.3143471181,0.3095110059,0.3460505009,0.3353036046,0.3788285851,0.3664696515,0.3825899959,0.384739399,0.3627082109,0.3772165477,0.3858140707,0.3686190248,0.3766792119,0.3756045103,0.4126813412,0.3981730342,0.3987103701,0.3960236311,0.3981730342,0.4212788939,0.4180548191,0.4191294909,0.4083825946,0.3997850716,0.407307893,0.3960236311,0.3981730342,0.401397109,0.3965609968,0.4207415283,0.3965609968,0.3960236311,0.4223535657,0.4030091465,0.4239656031,0.3944115937,0.418592155,0.3890381455,0.3997850716,0.4234282672,0.3852767348,0.3938742578,0.409994632,0.4707146585,0.4793122113,0.474476099,0.5212251544,0.54486835,0.5045674443,0.5104782581,0.4594304264,0.4545943141,0.4024717808,0.3927995563,0.4078452587,0.3863514364,0.3997850716,0.4357872009,0.3965609968,0.1859215498,0,0.04030091316,0.5206878185,1,0.7238044143,0.5916174054,0.5760343671,0.4991939962,0.4599677622,0.4234282672,0.4196668565,0.4234282672,0.443847388,0.4116066694,0.4255776405,0.4110693038,0.4126813412,0.3911875188,0.373455137,0.384739399,0.3772165477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9289289117,1,0.9699699879,0.9509509802,0.8408408165,0.6966966987,0.6046046019,0.6116116047,0.5635635853,0.5585585833,0.5745745897,0.5585585833,0.5605605841,0.5385385156,0.5585585833,0.5665665865,0.5855855942,0.6806806922,0.5305305123,0.2772772908,0.3273273408,0.8318318129,0.7217217088,0.2512512505,0,0.2182182223,0.4334334433,0.5475475192,0.5705705881,0.5745745897,0.5855855942,0.5855855942,0.5945945978,0.6006006002,0.6176176071,0.6226226091,0.6056056023,0.6066066027,0.6126126051,0.6356356144,0.6386386156,0.6486486197,0.6626626849,0.677677691,0.6976976991,0.7147147059,0.7157157063,0.7257257104,0.7287287116,0.7397397161,0.7367367148,0.72472471,0.7127127051,0.692692697,0.6756756902,0.6516516805,0.6416416168,0.6386386156,0.6106106043,0.6006006002,0.6006006002,0.5895895958,0.6036036015,0.5865865946,0.587587595,0.5885885954,0.5755755901,0.5795795918,0.5665665865,0.5775775909,0.587587595,0.5855855942,0.587587595,0.587587595,0.5895895958,0.5935935974,0.587587595,0.5995995998,0.5915915966,0.5885885954,0.5955955982,0.5855855942,0.6046046019,0.6596596837,0.6686686873,0.682682693,0.7577577829,0.8378378153,0.8408408165,0.8928928971,0.9219219089,0.9119119048,0.8058058023,0.6946946979,0.5815815926,0.5665665865,0.5405405164,0.5225225091,0.4964964986,0.5065065026,0.492492497,0.4904904962,0.492492497,0.4934934974,0.4934934974,0.5695695877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.7083333135,0.4880952239,0.1867559552,0.09672619402,0.08854166418,0.228422612,0.40625,0.4449404776,0.4866071343,0.5007440448,0.4985119104,0.4970238209,0.5275297761,0.5230654478,0.4947916567,0.5357142687,0.4836309552,0.5386904478,0.515625,0.5208333135,0.5275297761,0.4985119104,0.5052083135,0.5126488209,0.4709821343,0.4806547761,0.4330357015,0.4345238209,0.3958333433,0.359375,0.3400297761,0.2961309552,0.3229166567,0.3348214328,0.3504464328,0.4032738209,0.427827388,0.4821428657,0.4709821343,0.4925595224,0.4918154776,0.4776785672,0.4910714328,0.4732142985,0.46875,0.4650297761,0.4672619104,0.4888392985,0.4918154776,0.478422612,0.5014880896,0.4642857015,0.4806547761,0.4724702239,0.4769345224,0.494047612,0.4858630896,0.4918154776,0.4665178657,0.4650297761,0.4620535672,0.4880952239,0.4739583433,0.4918154776,0.4561011791,0.4769345224,0.4501488209,0.484375,0.46875,0.4873511791,0.4910714328,0.4665178657,0.4828869104,0.4858630896,0.4754464328,0.4828869104,0.4769345224,0.46875,0.4717261791,0.4605654776,0.4925595224,0.4598214328,0.4799107015,0.5037202239,0.5602678657,0.647321403,0.587053597,0.633928597,0.6934523582,0.6532738209,0.6614583135,0.569196403,0.5669642687,0.5632440448,0.5178571343,0.5059523582,0.4464285672,0.4427083433,0.4211309552,0.4092261791,0.380952388,0.1398809552,0.1331845224,0.6369047761,0.9732142687,0.7061011791,0.2797619104,0.07142857462,0.006696428638,0,0.1458333284,0.3303571343,0.4248511791,0.4486607015,0.4404761791,0.4441964328,0.4427083433,0.4866071343,0.46875,0.46875,0.4613095224,0.4598214328,0.4345238209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9666489959,0.5336156487,0.155637905,0.08946532756,0.2175754309,0.2249867618,0.2271042913,0.2181048244,0.2181048244,0.2403388023,0.2249867618,0.2313393354,0.2350450009,0.2244573832,0.2413975596,0.2117522508,0.2445738465,0.2435150892,0.2636315525,0.277395457,0.2551614642,0.3075701296,0.274748534,0.3033351004,0.3102170527,0.3118051887,0.3462149203,0.3197458982,0.3525674939,0.3525674939,0.3419798911,0.3462149203,0.3472736776,0.3467442989,0.3679195344,0.3118051887,0.3107464314,0.2885124385,0.2938062549,0.2805717289,0.2546320856,0.2625727952,0.2413975596,0.246691376,0.2308099568,0.2472207546,0.2514557838,0.2244573832,0.2535733283,0.2498676479,0.2477501333,0.2313393354,0.2366331369,0.2413975596,0.2541027069,0.2503970265,0.2572789788,0.2583377361,0.2451032251,0.2403388023,0.2244573832,0.2493382692,0.2138697654,0.2175754309,0.2461619973,0.208575964,0.2292218059,0.2424563318,0.2313393354,0.2281630486,0.2043409199,0.2366331369,0.2159872949,0.2228692472,0.2181048244,0.2186342031,0.252514571,0.22763367,0.2657490671,0.2890418172,0.2895711958,0.31127581,0.3282159865,0.3287453651,0.343568027,0.3292747438,0.2927474976,0.2366331369,0.2053996772,0.2053996772,0.1630492359,0.187930122,0.1646373719,0.1641079932,0.1604023278,0.154049769,0.1439915299,0.1408152431,0.154049769,0.1492853314,0.1175225005,0.1392271072,0.2435150892,0.3726839721,0.763366878,1,0.5643197298,0.1990471184,0,0.1386977285,0.2059290558,0.1858125925,0.1720487028,0.1884595007,0.1672842801,0.1926945448,0.1836950779,0.1709899455,0.1948120743,0.2006352544,0.2186342031,0.2323980927,0.2138697654,0.226045534,0.2318687141,0.2265749127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
