t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,label
1,0.9517749548,0.4675150812,0.1902210265,0,0.1855324805,0.3268586695,0.3737441301,0.3971868753,0.4179504216,0.4246483445,0.4279973209,0.4293369055,0.4460817277,0.4501004815,0.4789015353,0.5043536425,0.5090422034,0.5137307644,0.5217682719,0.5318151116,0.541862011,0.5485599637,0.587407887,0.6135298014,0.6771600842,0.7113195062,0.7494976521,0.824514389,0.8693904877,0.8888144493,0.9062290788,0.8868051171,0.8298727274,0.7689216137,0.6952444911,0.6095110774,0.5612859726,0.5224380493,0.489618212,0.4882786274,0.4822505116,0.4534494281,0.4467515051,0.4534494281,0.4554588199,0.4527796507,0.4661754966,0.4614869356,0.4527796507,0.4574681818,0.4567984045,0.460147351,0.4567984045,0.4628265202,0.4460817277,0.435365051,0.4326858819,0.4306764901,0.4253181517,0.4233087599,0.4159410596,0.4038847983,0.3904889524,0.4032149911,0.4079035521,0.4112524986,0.4206295907,0.4447421432,0.4480910897,0.435365051,0.416610837,0.4253181517,0.4212993979,0.409912914,0.4125920832,0.4112524986,0.4219691753,0.4226389825,0.3931681216,0.3837910295,0.3911587298,0.4367046356,0.4755525887,0.48760885,0.5391828418,0.5425317883,0.5251172185,0.5036838651,0.53717345,0.4976557195,0.4501004815,0.4058941603,0.3824514449,0.364367038,0.3717347682,0.3603482842,0.3503014147,0.3563295305,0.3576691151,0.3543201685,0.3770931065,0.4943067729,0.533154726,0.637642324,0.9799062014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.978215754,0.737551868,0.2971991599,0.2079875469,0.1561203301,0.1571576744,0.1535269767,0.142116189,0.1395228207,0.1307054013,0.1234439835,0.1229253113,0.1431535333,0.151452288,0.139004156,0.1540456414,0.1530082971,0.1571576744,0.1670124531,0.1862033159,0.1768672168,0.1882780045,0.1887966841,0.2142116129,0.2339211553,0.24221991,0.2655601799,0.2738589346,0.2852697074,0.290456444,0.3044605851,0.3003112078,0.2992738485,0.2920124531,0.256224066,0.2230290473,0.1836099625,0.140560165,0.1260373443,0.1109958515,0.08506224304,0.06898340583,0.06172199175,0.07313278317,0.07831950486,0.07883817703,0.069502078,0.07520747185,0.07780083269,0.08558091521,0.0923236534,0.08817427605,0.08869294822,0.09128630906,0.1047717854,0.08195021003,0.07676348835,0.06068464741,0.06794606149,0.07468879968,0.07572614402,0.0710580945,0.07831950486,0.09128630906,0.07417012751,0.06587137282,0.08143153787,0.0710580945,0.07468879968,0.08921162039,0.07935684919,0.08713693172,0.1073651463,0.1109958515,0.09802904725,0.09802904725,0.1099585071,0.06327801198,0.03734439984,0.03838174418,0.02904564328,0.03215767816,0.01089211646,0.01089211646,0.01815352775,0.01244813297,0.01763485558,0.03734439984,0.03008298762,0.03319502249,0,0.005705394316,0.125,0.3568464816,0.7593361139,1,0.6291493773,0.2157676369,0.145228222,0.08817427605,0.1037344411,0.1026970968,0.08558091521,0.08506224304,0.08765560389,0.07520747185,0.07883817703,0.06379668415,0.07831950486,0.08195021003,0.08558091521,0.09491701424,0.1182572618,0.1260373443,0.1198132783,0.135892123,0.1338174343,0.1550829858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9431891441,0.9767591953,0.5300193429,0.08327953517,0.05035506934,0.2343447357,0.2976113558,0.331181407,0.3376371861,0.32408005,0.3570045233,0.3544222116,0.3544222116,0.3699160814,0.3602324128,0.3712072372,0.3557133675,0.3776630163,0.3634603024,0.3873466849,0.4041317105,0.3970303535,0.4041317105,0.3970303535,0.415106535,0.4189799726,0.4312459528,0.429954797,0.4331826866,0.4602969587,0.4783731401,0.4938670099,0.4945125878,0.5326016545,0.5629438162,0.5887669325,0.6107165813,0.6100710034,0.6391220093,0.626856029,0.6081342697,0.5732730627,0.5229179859,0.4874112308,0.4460942447,0.4118786454,0.3808909059,0.3679793477,0.3563589454,0.3395739198,0.3376371861,0.3324725628,0.3176242709,0.3331181407,0.289218843,0.3008392453,0.3111684918,0.3214977384,0.2982569337,0.2982569337,0.3105229139,0.3040671349,0.3131052256,0.3111684918,0.3014848232,0.3105229139,0.3047127128,0.3156875372,0.3060038686,0.2930923104,0.3085861802,0.3079406023,0.3079406023,0.3092317581,0.3008392453,0.2840542197,0.2763072848,0.2937378883,0.2743705511,0.2827630639,0.2885732651,0.2827630639,0.289218843,0.2633957267,0.2769528627,0.2795351744,0.275016129,0.2808263302,0.2814719081,0.2937378883,0.3557133675,0.3550677896,0.3602324128,0.3621691465,0.3550677896,0.3750807047,0.3576501012,0.3524854779,0.3221433163,0.3273079395,0.3150419593,0.3014848232,0.2853453755,0.2685603499,0.2737249732,0.2989025116,0.289218843,0.2924467325,0.2956746221,0.316978693,0.3273079395,0.2427372485,0.3531310558,0.6591349244,0.9464170337,1,0.6733376384,0.2020658553,0,0.2453195602,0.316978693,0.3879922628,0.3957391977,0.4021949768,0.4067140222,0.4189799726,0.4034861326,0.4338282645,0.4357649982,0.4196255505,0.4499677122,0.4357649982,0.4602969587,0.4622336924,0.444157511,0.4525500238,0.4551323354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.771709919,0.1486123502,0,0.1074306145,0.1324977577,0.1230975837,0.1289167404,0.125783354,0.1101163849,0.1235452071,0.121307075,0.125783354,0.1365264058,0.123992838,0.1316025108,0.1526409984,0.1414503157,0.153983891,0.1651745737,0.1615935564,0.182184428,0.1862130761,0.2032229155,0.2135183513,0.2354521006,0.2578334808,0.2488809377,0.2923008204,0.3258728683,0.3151298165,0.3357206881,0.3325873017,0.3307967782,0.2963294685,0.2632050216,0.2435093969,0.2045658082,0.1902417243,0.177708149,0.1714413613,0.1727842391,0.1754700094,0.1768128872,0.1786033958,0.1727842391,0.1665174514,0.1835273057,0.1624888033,0.1830796748,0.1741271317,0.1656222045,0.1812891662,0.1687555909,0.1700984836,0.1678603441,0.1580125391,0.1683079749,0.1759176403,0.1535362601,0.1575649083,0.1624888033,0.1548791379,0.1535362601,0.153983891,0.1472694725,0.1512981206,0.1423455626,0.1504028589,0.1562220305,0.1880035847,0.2036705464,0.2309758216,0.247538045,0.2233661562,0.2282900661,0.2350044698,0.2260519266,0.1924798638,0.1602506787,0.1584601551,0.1311548799,0.1199641898,0.1208594441,0.1128021479,0.1110116392,0.1007162035,0.1020590886,0.09131602198,0.05147717148,0.1624888033,0.420322299,0.7591763735,0.9905998111,0.7264995575,0.1208594441,0.004476275761,0.09937331825,0.1222023293,0.1342882663,0.1141450331,0.1119068936,0.1078782454,0.1123545244,0.1101163849,0.1181736812,0.1248880923,0.123992838,0.1356311589,0.1405550539,0.1342882663,0.1369740367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9946702123,0.5949367285,0.3726404607,0.1681101471,0.1743282229,0.1967577189,0.2014212757,0.1978680938,0.1989784539,0.2011992037,0.2011992037,0.2058627605,0.2100821733,0.2114146054,0.2169664651,0.2216300219,0.2258494347,0.2282922566,0.2382855862,0.244947806,0.2540528476,0.2629358172,0.2760381997,0.2949145138,0.3084610403,0.3242282867,0.340439707,0.3486564457,0.3582056463,0.364867866,0.3666444719,0.3642016351,0.3437708318,0.31512326,0.2889184952,0.2624916732,0.242060855,0.2262935787,0.217632696,0.2083055675,0.2040861696,0.2038640976,0.2025316507,0.2027537227,0.2025316507,0.2036420107,0.2058627605,0.2074172795,0.2078614235,0.2078614235,0.2096380144,0.2118587643,0.2111925334,0.2118587643,0.2100821733,0.2149678022,0.2154119462,0.2125249803,0.2109704614,0.2138574272,0.2114146054,0.2149678022,0.2151898742,0.2087497264,0.2114146054,0.2120808363,0.2107483894,0.2091938704,0.2109704614,0.2109704614,0.2103042454,0.2078614235,0.2051965296,0.2038640976,0.2185209841,0.2333999574,0.2369531393,0.244947806,0.2456140369,0.2609371543,0.2653786242,0.2811459005,0.2647124231,0.2509438097,0.2160781771,0.2067510486,0.1983122379,0.1927603781,0.1896513402,0.1887630522,0.1856540143,0.1854319274,0.1876526773,0.1887630522,0.1903175712,0.1909837872,0.1872085333,0.1290251017,0,0.1543415487,0.4243837297,0.7863646746,1,0.586275816,0.3793026805,0.1900954992,0.1940928251,0.220075503,0.2214079499,0.2185209841,0.2171885371,0.220075503,0.219187215,0.2209638059,0.2242949158,0.2285143286,0.2360648513,0.2378414422,0.242282927,0.2469464839,0.2549411356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9944077134,0.9420437217,0.4514489174,0.07981698215,0,0.03050330468,0.06863243878,0.05846466869,0.06304015964,0.06304015964,0.07066598535,0.07473309338,0.08490086347,0.08337569982,0.09100152552,0.09964412451,0.112353839,0.1255719364,0.1413319707,0.1555668563,0.169293344,0.1997966468,0.2262328416,0.2425012738,0.2816471756,0.3162176013,0.3528215587,0.3873919547,0.4173868895,0.4478901923,0.4763599336,0.4814438224,0.4611082971,0.4189120531,0.3523131609,0.3024910986,0.2343670577,0.1748856157,0.139806807,0.1067615673,0.09100152552,0.08286730945,0.0843924731,0.08185053617,0.07015760243,0.0737163201,0.07473309338,0.08337569982,0.0889679715,0.09252668917,0.08998474479,0.09557702392,0.1021860689,0.09405185282,0.1093035042,0.1052364036,0.1016776785,0.1021860689,0.08947636187,0.1016776785,0.1026944593,0.09405185282,0.09811896086,0.0889679715,0.0920182988,0.0859176442,0.08286730945,0.07574987411,0.08642602712,0.08286730945,0.08032536507,0.07778342813,0.07473309338,0.08185053617,0.07219115645,0.0782918185,0.07778342813,0.07524148375,0.07625826448,0.08795119822,0.09557702392,0.1337061524,0.1337061524,0.1296390444,0.1591255665,0.1870869398,0.165226236,0.1387900412,0.1154041663,0.1011692956,0.07219115645,0.05592272431,0.05439756066,0.06151499599,0.05948144197,0.05134722963,0.06304015964,0.06456533074,0.06049821898,0.0549059473,0.1235383824,0.2419928759,0.6385358572,1,0.9552618265,0.4524656832,0.1093035042,0.02491103113,0.0767666474,0.09862735122,0.08744280785,0.1001525149,0.09964412451,0.1057447866,0.1098118946,0.118454501,0.116420947,0.1220132187,0.1418403685,0.1448906958,0.1550584584,0.1728520542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9247999787,0.9418666959,0.1744000018,0.03786666691,0.006399999838,0.01226666663,0.004266666714,0.005333333276,0,0.002133333357,0.0005333333393,0.004266666714,0.01546666678,0.003733333433,0.0223999992,0.03306666762,0.03840000182,0.04906666651,0.05866666511,0.07306666672,0.09653333575,0.1114666685,0.135466665,0.1568000019,0.1877333373,0.2293333262,0.2586666644,0.2896000147,0.3162666559,0.3413333297,0.3583999872,0.3605333269,0.3312000036,0.2960000038,0.2533333302,0.2069333345,0.1573333293,0.1216000021,0.09546666592,0.07733333111,0.07733333111,0.06186666712,0.06560000032,0.06080000103,0.05866666511,0.0719999969,0.06239999831,0.07519999892,0.07039999962,0.06986666471,0.07573333383,0.0719999969,0.06773333251,0.0671999976,0.05973333493,0.05866666511,0.05973333493,0.05920000002,0.04906666651,0.05066666752,0.05493333191,0.05066666752,0.05173333362,0.05119999871,0.04373333231,0.04373333231,0.04426666722,0.04693333432,0.04746666551,0.0410666652,0.05013333261,0.04800000042,0.04693333432,0.04906666651,0.0693333298,0.09920000285,0.1247999966,0.1322666705,0.1578666717,0.18613334,0.1775999963,0.1749333292,0.1578666717,0.1578666717,0.1130666658,0.08320000023,0.06026666611,0.04639999941,0.037333332,0.04053333402,0.05386666581,0.01973333396,0.06880000234,0.3562666774,0.7941333055,1,0.801066637,0.1728000045,0.1061333343,0.08160000294,0.08160000294,0.07733333111,0.07039999962,0.05973333493,0.06346666813,0.07039999962,0.07786666602,0.08160000294,0.08160000294,0.08426667005,0.08746666461,0.1002666652,0.1103999987,0.1146666631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7814232111,0.4690755904,0.2465085387,0.1866548508,0.2214586586,0.2252272218,0.2199068964,0.2185768187,0.2194635272,0.2187984884,0.2207936198,0.2227887362,0.2252272218,0.2267789841,0.2318776399,0.2349811643,0.2391930819,0.2449567765,0.2509421408,0.2571491897,0.2664597631,0.2773221135,0.2957215607,0.3068055809,0.3280869126,0.3440478742,0.3562403023,0.3655508757,0.3719795942,0.377078265,0.3772999346,0.3651075065,0.3431611657,0.3110175133,0.2813123465,0.25692752,0.2369762808,0.222345382,0.2112613618,0.2068277597,0.2021724731,0.1995123029,0.1997339875,0.1981822252,0.1984038949,0.1977388561,0.2017291039,0.2035025507,0.2012857497,0.2019507885,0.2008423805,0.2030591816,0.2003990263,0.2006207108,0.1995123029,0.1984038949,0.1959654242,0.1961870939,0.1953003705,0.1919751763,0.192196846,0.1904234141,0.1868765205,0.1862114817,0.1870982051,0.1866548508,0.1824429184,0.1957437396,0.208379522,0.2176900953,0.2168033719,0.223453775,0.2398581207,0.2447350919,0.2536022961,0.2323209941,0.2063843906,0.1788960248,0.1720239371,0.1616049707,0.1607182473,0.1576147228,0.1551762372,0.1538461596,0.1507426351,0.151407674,0.1507426351,0.1534027904,0.1531811059,0.1361117214,0.02083795145,0,0.2445134073,0.5985369086,0.9782752991,0.7807581425,0.4473509192,0.2103746384,0.142983824,0.1813345104,0.1855464429,0.1780093163,0.1757925004,0.1775659472,0.1773442626,0.181556195,0.181556195,0.1855464429,0.1917534918,0.1928618997,0.1946353316,0.2015074193,0.2059410363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9971048236,0.9826288223,0.5883033872,0.2379849404,0.1250723749,0.116386801,0.09322524816,0.08859293908,0.07817023993,0.07295888662,0.07932831347,0.07064273208,0.07295888662,0.07701215893,0.08048639446,0.08106543124,0.08801389486,0.09206716716,0.099594675,0.1123335287,0.1233352646,0.1354950815,0.1430225819,0.1540243179,0.1708164513,0.1858714521,0.1957151145,0.214823395,0.2403011024,0.2675159276,0.2889403701,0.3045744002,0.3231036365,0.3329473138,0.3381586671,0.331210196,0.3121019006,0.2721482217,0.2339316756,0.2084539682,0.1754487604,0.1609727889,0.1407064199,0.1314418018,0.1169658378,0.1175448745,0.1123335287,0.116386801,0.1169658378,0.1146496832,0.1187029555,0.1181239113,0.1227562279,0.1285466105,0.132020846,0.1279675812,0.1337579638,0.132020846,0.132020846,0.1268094927,0.1285466105,0.1175448745,0.1198610291,0.1117544845,0.1053850576,0.1001737118,0.09901563078,0.1013317928,0.08975101262,0.08859293908,0.08975101262,0.0943833217,0.08685582131,0.08453966677,0.08396062255,0.09612043947,0.1331789196,0.1569195092,0.163288936,0.1713954806,0.2020845413,0.2119282037,0.2264041752,0.248407647,0.1939779967,0.1308627725,0.09322524816,0.07064273208,0.05211349204,0.04284887016,0.03647944331,0.02953097783,0.02663578466,0.02663578466,0.01968731917,0.01737116463,0.005790387746,0.01273885369,0,0.003474232741,0.07122176886,0.4232773483,1,0.8986682296,0.4962362349,0.1557614356,0.0903300494,0.06832657754,0.04690214247,0.04284887016,0.04053271562,0.03763752058,0.04111175612,0.05095541477,0.05500868708,0.05211349204,0.04690214247,0.0457440652,0.05269252881,0.05211349204,0.066010423,0.07295888662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8412463069,0.1434223503,0.005934718065,0.004945598543,0.06330365688,0.1246290803,0.1488625109,0.142433241,0.1463897079,0.1468842775,0.158753708,0.1607319415,0.1597428322,0.1646884233,0.1701285839,0.1691394597,0.1701285839,0.1740850657,0.1829871386,0.1859544963,0.1904055327,0.1993076205,0.2027695328,0.2002967298,0.2245301753,0.2428288758,0.2527200878,0.2606330514,0.2754698396,0.2888229489,0.3110781312,0.322453022,0.3298714161,0.3199802041,0.2947576642,0.2705242336,0.2383778393,0.2240356058,0.2027695328,0.1913946569,0.1844708174,0.1844708174,0.1770524234,0.1805143356,0.1641938686,0.1706231385,0.1735905111,0.180019781,0.1765578687,0.1755687445,0.1770524234,0.1869436204,0.1854599416,0.1844708174,0.1755687445,0.1790306568,0.1854599416,0.1829871386,0.1735905111,0.1711177081,0.1726013869,0.1706231385,0.1765578687,0.1755687445,0.1716122627,0.1701285839,0.1686449051,0.163699314,0.1686449051,0.1721068323,0.2022749782,0.2359050512,0.2363996059,0.2176063359,0.2685459852,0.2863501608,0.2754698396,0.2725024819,0.2368941605,0.2027695328,0.1923837811,0.1671612263,0.139960438,0.1295746714,0.1216617227,0.1206725985,0.1196834818,0.1216617227,0.1226508394,0.1211671606,0.0806132555,0.1201780438,0.4045499563,0.7235410213,0.9193867445,0.9960435033,0.3348170221,0.01780415513,0,0.03956478834,0.08951532841,0.1364985108,0.135014832,0.1364985108,0.1389713138,0.1419386715,0.1503461897,0.1483679563,0.1528189927,0.1552917957,0.1533135474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
